Learnsets population started at 2024-10-15T18:32:16.037Z
Success: Added move psychup to politoed
Success: Added move mudslap to politoed
Success: Added move crosschop to machop
Success: Added move gastroacid to bellsprout
Success: Added move dynamicpunch to machop
Success: Added move gigadrain to bellsprout
Success: Added move energyball to bellsprout
Success: Added move encore to bellsprout
Success: Added move endure to bellsprout
Success: Added move acidspray to bellsprout
Success: Added move clearsmog to bellsprout
Success: Added move mudslap to poliwhirl
Success: Added move grassyterrain to bellsprout
Success: Added move ingrain to bellsprout
Success: Added move growth to bellsprout
Success: Added move pounce to bellsprout
Success: Added move knockoff to bellsprout
Success: Added move magicalleaf to bellsprout
Success: Added move grassknot to bellsprout
Success: Added move lunge to bellsprout
Success: Added move rest to bellsprout
Success: Added move leechlife to bellsprout
Success: Added move leafstorm to bellsprout
Success: Added move sleeptalk to bellsprout
Success: Added move reflect to bellsprout
Success: Added move poisonpowder to bellsprout
Success: Added move seedbomb to bellsprout
Success: Added move slam to bellsprout
Success: Added move protect to bellsprout
Success: Added move poisonjab to bellsprout
Success: Added move solarbeam to bellsprout
Success: Added move razorleaf to bellsprout
Success: Added move sleeppowder to bellsprout
Success: Added move rest to poliwhirl
Success: Added move psychic to poliwhirl
Success: Added move substitute to bellsprout
Success: Added move lowkick to poliwhirl
Success: Added move protect to poliwhirl
Success: Added move raindance to poliwhirl
Success: Added move waterpulse to poliwhirl
Success: Added move swift to poliwhirl
Success: Added move sleeptalk to poliwhirl
Success: Added move sweetscent to bellsprout
Success: Added move swordsdance to bellsprout
Success: Added move tickle to bellsprout
Success: Added move batonpass to poliwrath
Success: Added move whirlpool to poliwhirl
Success: Added move growth to weepinbell
Success: Added move toxic to bellsprout
Success: Added move bugbite to weepinbell
Success: Added move facade to weepinbell
Success: Added move endure to weepinbell
Success: Added move bodyslam to poliwrath
Success: Added move acidspray to weepinbell
Success: Added move brickbreak to poliwrath
Success: Added move bubblebeam to poliwrath
Success: Added move acid to weepinbell
Success: Added move vinewhip to bellsprout
Success: Added move powerwhip to weepinbell
Success: Added move bulkup to poliwrath
Success: Added move circlethrow to poliwrath
Success: Added move grassyglide to weepinbell
Success: Added move dig to poliwrath
Success: Added move energyball to weepinbell
Success: Added move encore to weepinbell
Success: Added move protect to weepinbell
Success: Added move weatherball to bellsprout
Success: Added move poisonjab to weepinbell
Success: Added move bulletseed to weepinbell
Success: Added move leafstorm to weepinbell
Success: Added move magicalleaf to weepinbell
Success: Added move lunge to weepinbell
Success: Added move leechlife to weepinbell
Success: Added move fling to poliwrath
Success: Added move pounce to weepinbell
Success: Added move hydropump to poliwrath
Success: Added move razorleaf to weepinbell
Success: Added move grassyterrain to weepinbell
Success: Added move rockslide to poliwrath
Success: Added move poisonpowder to weepinbell
Success: Added move slam to weepinbell
Success: Added move hypnosis to poliwrath
Success: Added move seedbomb to weepinbell
Success: Added move sludgewave to weepinbell
Success: Added move wrap to bellsprout
Success: Added move encore to poliwrath
Success: Added move substitute to weepinbell
Success: Added move sunnyday to weepinbell
Success: Added move sleeptalk to weepinbell
Success: Added move sludgebomb to weepinbell
Success: Added move terablast to weepinbell
Success: Added move stunspore to weepinbell
Success: Added move thief to weepinbell
Success: Added move toxic to weepinbell
Success: Added move venoshock to weepinbell
Success: Added move swift to weepinbell
Success: Added move psychup to poliwrath
Success: Added move bodyslam to victreebel
Success: Added move swordsdance to weepinbell
Success: Added move solarbeam to weepinbell
Success: Added move trailblaze to weepinbell
Success: Added move sweetscent to weepinbell
Success: Added move wrap to weepinbell
Success: Added move psychic to poliwrath
Success: Added move bugbite to victreebel
Success: Added move helpinghand to poliwrath
Success: Added move gastroacid to victreebel
Success: Added move weatherball to weepinbell
Success: Added move endure to victreebel
Success: Added move energyball to victreebel
Success: Added move mudshot to poliwrath
Success: Added move bulletseed to victreebel
Success: Added move facade to victreebel
Success: Added move grassyglide to victreebel
Success: Added move gigaimpact to victreebel
Success: Added move hyperbeam to victreebel
Success: Added move knockoff to victreebel
Success: Added move grassyterrain to victreebel
Success: Added move dig to politoed
Success: Added move grassknot to victreebel
Success: Added move razorleaf to victreebel
Success: Added move seedbomb to victreebel
Success: Added move lunge to victreebel
Success: Added move poisonjab to victreebel
Success: Added move magicalleaf to victreebel
Success: Added move powerwhip to victreebel
Success: Added move pounce to victreebel
Success: Added move reflect to victreebel
Success: Added move sleeppowder to victreebel
Success: Added move scaryface to victreebel
Success: Added move venoshock to tentacool
Success: Added move confuseray to tentacruel
Success: Added move sludgewave to victreebel
Success: Added move hydropump to tentacool
Success: Added move solarbeam to victreebel
Success: Added move supersonic to tentacool
Success: Added move rest to victreebel
Success: Added move leechlife to victreebel
Success: Added move surf to tentacool
Success: Added move sludgebomb to victreebel
Success: Added move spitup to victreebel
Success: Added move substitute to tentacruel
Success: Added move focuspunch to geodude
Success: Added move discharge to geodudealola
Success: Added move toxic to victreebel
Success: Added move swordsdance to victreebel
Success: Added move block to geodudealola
Success: Added move substitute to geodude
Success: Added move bulldoze to geodudealola
Success: Added move swift to victreebel
Success: Added move endure to geodudealola
Success: Added move thief to victreebel
Success: Added move acid to tentacool
Success: Added move acidarmor to tentacool
Success: Added move rockslide to geodudealola
Success: Added move blizzard to tentacool
Success: Added move dazzlinggleam to tentacool
Success: Added move acupressure to tentacool
Success: Added move mudshot to geodudealola
Success: Added move selfdestruct to geodudealola
Success: Added move endure to tentacool
Success: Added move acidspray to tentacool
Success: Added move barrier to tentacool
Success: Added move facade to tentacool
Success: Added move aquaring to tentacool
Success: Added move confuseray to tentacool
Success: Added move weatherball to victreebel
Success: Added move aurorabeam to tentacool
Success: Added move haze to tentacool
Success: Added move hex to tentacool
Success: Added move bubblebeam to tentacool
Success: Added move gunkshot to tentacool
Success: Added move protect to tentacruel
Success: Added move pounce to tentacool
Success: Added move protect to tentacool
Success: Added move thunderpunch to geodudealola
Success: Added move protect to victreebel
Success: Added move mudshot to tentacruel
Success: Added move thunderwave to geodudealola
Success: Added move hex to tentacruel
Success: Added move skittersmack to tentacruel
Success: Added move rest to tentacruel
Success: Added move toxicspikes to tentacool
Success: Added move blizzard to tentacruel
Success: Added move knockoff to tentacool
Success: Added move bulldoze to graveler
Success: Added move sleeptalk to victreebel
Success: Added move doubleedge to graveler
Success: Added move wildcharge to geodudealola
Success: Added move gunkshot to tentacruel
Success: Added move earthpower to graveler
Success: Added move earthquake to graveler
Success: Added move endure to graveler
Success: Added move haze to tentacruel
Success: Added move flamethrower to graveler
Success: Added move sludgewave to tentacruel
Success: Added move fling to graveler
Success: Added move sunnyday to victreebel
Success: Added move facade to graveler
Success: Added move icywind to tentacool
Success: Added move firepunch to graveler
Success: Added move waterpulse to tentacool
Success: Added move highhorsepower to graveler
Success: Added move rockblast to graveler
Success: Added move knockoff to tentacruel
Success: Added move bubblebeam to tentacruel
Success: Added move mudshot to graveler
Success: Added move liquidation to tentacruel
Success: Added move screech to tentacruel
Success: Added move substitute to tentacool
Success: Added move protect to graveler
Success: Added move rockslide to graveler
Success: Added move facade to tentacruel
Success: Added move rockpolish to graveler
Success: Added move thief to tentacool
Success: Added move toxic to tentacool
Success: Added move terablast to tentacool
Success: Added move rest to tentacool
Success: Added move acid to tentacruel
Success: Added move sandstorm to graveler
Success: Added move swift to tentacool
Success: Added move sludgewave to tentacool
Success: Added move icebeam to tentacruel
Success: Added move poisonsting to tentacruel
Success: Added move gigaimpact to tentacruel
Success: Added move stompingtantrum to graveler
Success: Added move sleeptalk to tentacool
Success: Added move sludgebomb to tentacruel
Success: Added move muddywater to tentacruel
Success: Added move acidarmor to tentacruel
Success: Added move icywind to tentacruel
Success: Added move poisonjab to tentacool
Success: Added move rapidspin to tentacool
Success: Added move gigadrain to tentacruel
Success: Added move sleeptalk to tentacruel
Success: Added move hydropump to tentacruel
Success: Added move swordsdance to tentacool
Success: Added move screech to tentacool
Success: Added move wrap to tentacool
Success: Added move poisonjab to tentacruel
Success: Added move mirrorcoat to tentacool
Success: Added move throatchop to tentacool
Success: Added move barrier to tentacruel
Success: Added move terablast to tentacruel
Success: Added move supersonic to tentacruel
Success: Added move thief to tentacruel
Success: Added move throatchop to tentacruel
Success: Added move venoshock to tentacruel
Success: Added move watergun to tentacruel
Success: Added move swordsdance to tentacruel
Success: Added move swift to tentacruel
Success: Added move surf to tentacruel
Success: Added move tickle to tentacool
Success: Added move chillingwater to tentacruel
Success: Added move muddywater to tentacool
Success: Added move waterpulse to tentacruel
Success: Added move toxicspikes to tentacruel
Success: Added move substitute to victreebel
Success: Added move doubleedge to geodude
Success: Added move endure to geodude
Success: Added move toxic to tentacruel
Success: Added move weatherball to tentacruel
Success: Added move fireblast to geodude
Success: Added move defensecurl to geodude
Success: Added move irondefense to geodude
Success: Added move facade to geodude
Success: Added move earthpower to geodude
Success: Added move hammerarm to geodude
Success: Added move gyroball to geodude
Success: Added move earthquake to geodude
Success: Added move bodyslam to geodude
Success: Added move flamethrower to geodude
Success: Added move flail to geodude
Success: Added move curse to geodude
Success: Added move block to geodude
Success: Added move bulldoze to geodude
Success: Added move highhorsepower to geodude
Success: Added move explosion to geodude
Success: Added move whirlpool to tentacruel
Success: Added move metronome to geodude
Success: Added move fling to geodude
Success: Added move swallow to victreebel
Success: Added move wrap to tentacruel
Success: Added move megapunch to geodude
Success: Added move mudshot to geodude
Success: Added move firepunch to geodude
Success: Added move dig to geodude
Success: Added move dynamicpunch to geodude
Success: Added move mudslap to geodude
Success: Added move protect to geodude
Success: Added move rockpolish to geodude
Success: Added move rest to geodude
Success: Added move rockthrow to geodude
Success: Added move rocktomb to geodude
Success: Added move rockslide to geodude
Success: Added move rockblast to geodude
Success: Added move brickbreak to geodude
Success: Added move rollout to geodude
Success: Added move scaryface to geodude
Success: Added move terablast to victreebel
Success: Added move selfdestruct to geodude
Success: Added move sandstorm to geodude
Success: Added move takedown to geodude
Success: Added move trailblaze to victreebel
Success: Added move sweetscent to victreebel
Success: Added move wideguard to geodude
Success: Added move defensecurl to geodudealola
Success: Added move smackdown to geodude
Success: Added move dig to geodudealola
Success: Added move stealthrock to geodude
Success: Added move counter to geodudealola
Success: Added move sleeptalk to geodude
Success: Added move chargebeam to geodudealola
Success: Added move curse to geodudealola
Success: Added move charge to geodudealola
Success: Added move bodyslam to geodudealola
Success: Added move sunnyday to geodude
Success: Added move brickbreak to geodudealola
Success: Added move stompingtantrum to geodude
Success: Added move earthpower to geodudealola
Success: Added move tackle to geodude
Success: Added move venoshock to victreebel
Success: Added move terablast to geodude
Success: Added move thunderpunch to geodude
Success: Added move doubleedge to geodudealola
Success: Added move earthquake to geodudealola
Success: Added move stoneedge to geodude
Success: Added move electroweb to geodudealola
Success: Added move chillingwater to tentacool
Success: Added move firepunch to geodudealola
Success: Added move explosion to geodudealola
Success: Added move highhorsepower to geodudealola
Success: Added move facade to geodudealola
Success: Added move fireblast to geodudealola
Success: Added move flamethrower to geodudealola
Success: Added move protect to geodudealola
Success: Added move gyroball to geodudealola
Success: Added move rest to geodudealola
Success: Added move focuspunch to geodudealola
Success: Added move irondefense to geodudealola
Success: Added move flail to geodudealola
Success: Added move vinewhip to victreebel
Success: Added move rockblast to geodudealola
Success: Added move fling to geodudealola
Success: Added move mudslap to geodudealola
Success: Added move rockpolish to geodudealola
Success: Added move rockthrow to geodudealola
Success: Added move flipturn to tentacool
Success: Added move rollout to geodudealola
Success: Added move sandstorm to geodudealola
Success: Added move rocktomb to geodudealola
Success: Added move screech to geodudealola
Success: Added move smackdown to geodudealola
Success: Added move spark to geodudealola
Success: Added move stealthrock to geodudealola
Success: Added move gigadrain to tentacool
Success: Added move sleeptalk to geodudealola
Success: Added move substitute to geodudealola
Success: Added move stoneedge to geodudealola
Success: Added move sunnyday to geodudealola
Success: Added move supercellslam to geodudealola
Success: Added move tackle to geodudealola
Success: Added move takedown to geodudealola
Success: Added move thunderbolt to geodudealola
Success: Added move terablast to geodudealola
Success: Added move icebeam to tentacool
Success: Added move thunder to geodudealola
Success: Added move voltswitch to geodudealola
Success: Added move dig to graveler
Success: Added move mudshot to tentacool
Success: Added move wideguard to geodudealola
Success: Added move bodyslam to graveler
Success: Added move curse to graveler
Success: Added move zapcannon to geodudealola
Success: Added move brickbreak to graveler
Success: Added move defensecurl to graveler
Success: Added move pounce to tentacruel
Success: Added move leafstorm to victreebel
Success: Added move poisonsting to tentacool
Success: Added move bodypress to graveler
Success: Added move liquidation to tentacool
Success: Added move endure to tentacruel
Success: Added move stockpile to victreebel
Success: Added move focuspunch to graveler
Success: Added move raindance to tentacool
Success: Added move explosion to graveler
Success: Added move fireblast to graveler
Success: Added move whirlpool to tentacool
Success: Added move gyroball to graveler
Success: Added move focusblast to graveler
Success: Added move watergun to tentacool
Success: Added move dazzlinggleam to tentacruel
Success: Added move hardpress to graveler
Success: Added move heavyslam to graveler
Success: Added move sludgebomb to tentacool
Success: Added move flipturn to tentacruel
Success: Added move metronome to graveler
Success: Added move hyperbeam to tentacruel
Success: Added move scaryface to tentacruel
Success: Added move mudslap to graveler
Success: Added move irondefense to graveler
Success: Added move rest to graveler
Success: Added move wringout to tentacool
Success: Added move acidspray to tentacruel
Success: Added move ironhead to graveler
Success: Added move rockthrow to graveler
Success: Added move rocktomb to graveler
Success: Added move scaryface to graveler
Success: Added move selfdestruct to graveler
Success: Added move rollout to graveler
Success: Added move reflecttype to tentacruel
Success: Added move sleeptalk to graveler
Success: Added move smackdown to graveler
Success: Added move stoneedge to graveler
Success: Added move stealthrock to graveler
Success: Added move raindance to tentacruel
Success: Added move takedown to graveler
Success: Added move substitute to graveler
Success: Added move sunnyday to graveler
Success: Added move tackle to graveler
Success: Added move dig to graveleralola
Success: Added move defensecurl to graveleralola
Success: Added move bulldoze to graveleralola
Success: Added move bodyslam to graveleralola
Success: Added move thunderpunch to graveler
Success: Added move terablast to graveler
Success: Added move chargebeam to graveleralola
Success: Added move curse to graveleralola
Success: Added move discharge to graveleralola
Success: Added move brickbreak to graveleralola
Success: Added move highhorsepower to graveleralola
Success: Added move fireblast to graveleralola
Success: Added move firepunch to graveleralola
Success: Added move explosion to graveleralola
Success: Added move earthpower to graveleralola
Success: Added move doubleedge to golem
Success: Added move focuspunch to graveleralola
Success: Added move highhorsepower to golem
Success: Added move flamethrower to graveleralola
Success: Added move ironhead to golem
Success: Added move metronome to graveleralola
Success: Added move blizzard to slowpoke
Success: Added move endure to graveleralola
Success: Added move earthquake to graveleralola
Success: Added move block to slowpokegalar
Success: Added move sunnyday to slowpoke
Success: Added move slackoff to slowpokegalar
Success: Added move endure to slowpokegalar
Success: Added move electroweb to graveleralola
Success: Added move sandstorm to golem
Success: Added move curse to slowpoke
Success: Added move selfdestruct to graveleralola
Success: Added move focusblast to graveleralola
Success: Added move rockblast to graveleralola
Success: Added move trickroom to slowpoke
Success: Added move rockthrow to graveleralola
Success: Added move swift to slowpoke
Success: Added move rollout to graveleralola
Success: Added move bodyslam to slowpokegalar
Success: Added move scaryface to graveleralola
Success: Added move rockpolish to graveleralola
Success: Added move protect to graveleralola
Success: Added move spark to graveleralola
Success: Added move smackdown to graveleralola
Success: Added move chillingwater to slowpokegalar
Success: Added move mudshot to graveleralola
Success: Added move rest to golemalola
Success: Added move rest to slowpoke
Success: Added move substitute to graveleralola
Success: Added move stealthrock to graveleralola
Success: Added move sunnyday to graveleralola
Success: Added move thunderpunch to graveleralola
Success: Added move tackle to graveleralola
Success: Added move thunderbolt to graveleralola
Success: Added move supercellslam to graveleralola
Success: Added move terablast to graveleralola
Success: Added move thunder to graveleralola
Success: Added move avalanche to slowpoke
Success: Added move rockpolish to golem
Success: Added move takedown to graveleralola
Success: Added move wildcharge to graveleralola
Success: Added move voltswitch to graveleralola
Success: Added move growl to slowpoke
Success: Added move bodyslam to golem
Success: Added move bulldoze to golem
Success: Added move dig to golemalola
Success: Added move facade to golem
Success: Added move earthpower to golem
Success: Added move earthpower to golemalola
Success: Added move tackle to golemalola
Success: Added move terablast to golem
Success: Added move dig to golem
Success: Added move fireblast to golem
Success: Added move explosion to golem
Success: Added move focuspunch to golem
Success: Added move charge to graveleralola
Success: Added move fling to golem
Success: Added move flamethrower to golem
Success: Added move doubleedge to graveleralola
Success: Added move electricterrain to graveleralola
Success: Added move stoneedge to golem
Success: Added move metronome to golemalola
Success: Added move stompingtantrum to golemalola
Success: Added move mudshot to golem
Success: Added move icebeam to slowpoke
Success: Added move waterfall to slowpoke
Success: Added move mudslap to golem
Success: Added move headbutt to slowpokegalar
Success: Added move focuspunch to golemalola
Success: Added move gyroball to golem
Success: Added move brickbreak to golemalola
Success: Added move hyperbeam to golem
Success: Added move helpinghand to slowpoke
Success: Added move protect to golem
Success: Added move hardpress to golem
Success: Added move confusion to slowpokegalar
Success: Added move gigaimpact to golem
Success: Added move firepunch to golem
Success: Added move rest to golem
Success: Added move focusblast to golem
Success: Added move psychup to slowpokegalar
Success: Added move weatherball to slowpoke
Success: Added move electricterrain to golemalola
Success: Added move thunderwave to slowpoke
Success: Added move voltswitch to golemalola
Success: Added move facade to slowpokegalar
Success: Added move rockblast to golemalola
Success: Added move rockslide to golemalola
Success: Added move endure to slowpoke
Success: Added move snowscape to slowpokegalar
Success: Added move hardpress to golemalola
Success: Added move endure to golemalola
Success: Added move sleeptalk to slowpoke
Success: Added move metronome to golem
Success: Added move heavyslam to golem
Success: Added move irondefense to golem
Success: Added move discharge to golemalola
Success: Added move psychic to slowpokegalar
Success: Added move psychic to slowpoke
Success: Added move blizzard to slowpokegalar
Success: Added move rockpolish to golemalola
Success: Added move disable to slowpokegalar
Success: Added move meteorbeam to golemalola
Success: Added move surf to slowpoke
Success: Added move stoneedge to golemalola
Success: Added move block to slowpoke
Success: Added move tailwhip to ponyta
Success: Added move thunderwave to golemalola
Success: Added move icebeam to slowpokegalar
Success: Added move lightscreen to slowpoke
Success: Added move calmmind to slowpoke
Success: Added move icywind to slowpokegalar
Success: Added move rockblast to golem
Success: Added move flareblitz to rapidash
Success: Added move psychicterrain to slowpoke
Success: Added move protect to slowpokegalar
Success: Added move liquidation to slowpokegalar
Success: Added move facade to golemalola
Success: Added move explosion to golemalola
Success: Added move roar to golemalola
Success: Added move supercellslam to golemalola
Success: Added move expandingforce to slowpoke
Success: Added move firepunch to golemalola
Success: Added move chillingwater to slowpoke
Success: Added move psyshock to slowpoke
Success: Added move waterpulse to slowpoke
Success: Added move selfdestruct to golemalola
Success: Added move shadowball to slowpoke
Success: Added move mudshot to slowpoke
Success: Added move earthquake to golemalola
Success: Added move spark to golemalola
Success: Added move takedown to slowpoke
Success: Added move expandingforce to slowpokegalar
Success: Added move acid to slowpokegalar
Success: Added move fireblast to golemalola
Success: Added move mudslap to golemalola
Success: Added move thunderpunch to golemalola
Success: Added move imprison to slowpokegalar
Success: Added move bodypress to golemalola
Success: Added move stealthrock to golem
Success: Added move zenheadbutt to slowpoke
Success: Added move foulplay to slowpoke
Success: Added move protect to slowpoke
Success: Added move stomp to slowpoke
Success: Added move yawn to slowpoke
Success: Added move curse to golemalola
Success: Added move psybeam to slowpokegalar
Success: Added move skillswap to slowpoke
Success: Added move sunnyday to golem
Success: Added move roar to golem
Success: Added move takedown to golemalola
Success: Added move fling to graveleralola
Success: Added move terablast to golemalola
Success: Added move thunderpunch to golem
Success: Added move curse to slowpokegalar
Success: Added move sleeptalk to graveleralola
Success: Added move rocktomb to graveleralola
Success: Added move hyperbeam to golemalola
Success: Added move gyroball to graveleralola
Success: Added move irondefense to graveleralola
Success: Added move hardpress to graveleralola
Success: Added move wildcharge to golemalola
Success: Added move headbutt to slowpoke
Success: Added move takedown to golem
Success: Added move smackdown to golem
Success: Added move bodyslam to golemalola
Success: Added move storedpower to slowpoke
Success: Added move stomp to ponyta
Success: Added move grassknot to slowpokegalar
Success: Added move psychicterrain to slowpokegalar
Success: Added move sleeptalk to slowpokegalar
Success: Added move inferno to rapidash
Success: Added move snowscape to slowpoke
Success: Added move substitute to slowpoke
Success: Added move psybeam to slowpoke
Success: Added move sandstorm to golemalola
Success: Added move amnesia to slowpokegalar
Success: Added move psyshock to slowpokegalar
Success: Added move icywind to slowpoke
Success: Added move fling to golemalola
Success: Added move heavyslam to golemalola
Success: Added move sleeptalk to golem
Success: Added move belch to slowpokegalar
Success: Added move doubleedge to golemalola
Success: Added move rockslide to golem
Success: Added move dig to slowpokegalar
Success: Added move takedown to rapidash
Success: Added move skillswap to slowpokegalar
Success: Added move raindance to slowpoke
Success: Added move fireblast to slowpokegalar
Success: Added move belch to slowpoke
Success: Added move stompingtantrum to golem
Success: Added move slackoff to slowpoke
Success: Added move healpulse to slowpokegalar
Success: Added move electroweb to golemalola
Success: Added move facade to slowpoke
Success: Added move chargebeam to golemalola
Success: Added move facade to graveleralola
Success: Added move dazzlinggleam to rapidashgalar
Success: Added move charge to golemalola
Success: Added move scaryface to golemalola
Success: Added move watergun to slowpoke
Success: Added move sandstorm to graveleralola
Success: Added move mudslap to graveleralola
Success: Added move irondefense to golemalola
Success: Added move substitute to golem
Success: Added move raindance to slowpokegalar
Success: Added move rest to graveleralola
Success: Added move fireblast to slowpoke
Success: Added move bulldoze to slowpoke
Success: Added move psychup to slowpoke
Success: Added move rockthrow to golem
Success: Added move stealthrock to golemalola
Success: Added move stoneedge to graveleralola
Success: Added move protect to golemalola
Success: Added move earthquake to slowpokegalar
Success: Added move stompingtantrum to graveleralola
Success: Added move rockslide to graveleralola
Success: Added move hydropump to slowpoke
Success: Added move bodyslam to slowpoke
Success: Added move amnesia to slowpoke
Success: Added move rocktomb to golem
Success: Added move growl to slowpokegalar
Success: Added move smackdown to golemalola
Success: Added move brickbreak to golem
Success: Added move mudshot to slowpokegalar
Success: Added move stomp to rapidash
Success: Added move thunderwave to graveleralola
Success: Added move rocktomb to golemalola
Success: Added move ember to ponyta
Success: Added move substitute to golemalola
Success: Added move defensecurl to golem
Success: Added move ironhead to golemalola
Success: Added move shadowball to slowpokegalar
Success: Added move bulldoze to slowpokegalar
Success: Added move earthquake to golem
Success: Added move liquidation to slowpoke
Success: Added move lightscreen to slowpokegalar
Success: Added move bodypress to golem
Success: Added move endure to golem
Success: Added move thunderbolt to golemalola
Success: Added move curse to golem
Success: Added move flareblitz to ponyta
Success: Added move scaryface to golem
Success: Added move sunnyday to golemalola
Success: Added move gyroball to golemalola
Success: Added move flamethrower to golemalola
Success: Added move flamethrower to slowpokegalar
Success: Added move rest to slowpokegalar
Success: Added move defensecurl to golemalola
Success: Added move grassknot to slowpoke
Success: Added move earthquake to slowpoke
Success: Added move trick to slowpoke
Success: Added move sleeptalk to golemalola
Success: Added move rollout to golem
Success: Added move helpinghand to slowpokegalar
Success: Added move gigaimpact to golemalola
Success: Added move healpulse to slowpoke
Success: Added move thunder to golemalola
Success: Added move imprison to slowpoke
Success: Added move avalanche to slowpokegalar
Success: Added move hydropump to slowpokegalar
Success: Added move whirlpool to slowpoke
Success: Added move tackle to slowpoke
Success: Added move takedown to ponyta
Success: Added move confusion to slowpoke
Success: Added move foulplay to slowpokegalar
Success: Added move tackle to golem
Success: Added move focusblast to golemalola
Success: Added move dig to slowpoke
Success: Added move bellydrum to slowpokegalar
Success: Added move calmmind to slowpokegalar
Success: Added move mudshot to golemalola
Success: Added move terablast to slowpoke
Success: Added move disable to slowpoke
Success: Added move selfdestruct to golem
Success: Added move rockthrow to golemalola
Success: Added move flamethrower to slowpoke
Success: Added move bellydrum to slowpoke
Success: Added move bulldoze to golemalola
Success: Added move substitute to slowpokegalar
Success: Added move storedpower to slowpokegalar
Success: Added move tackle to slowpokegalar
Success: Added move surf to slowpokegalar
Success: Added move thunderwave to slowpokegalar
Success: Added move takedown to slowpokegalar
Success: Added move sunnyday to slowpokegalar
Success: Added move stomp to slowpokegalar
Success: Added move trick to slowpokegalar
Success: Added move swift to slowpokegalar
Success: Added move slackoff to slowbro
Success: Added move calmmind to slowbrogalar
Success: Added move bodyslam to slowbro
Success: Added move waterpulse to slowpokegalar
Success: Added move bulldoze to slowbro
Success: Added move bodypress to slowbro
Success: Added move terablast to slowpokegalar
Success: Added move amnesia to slowbrogalar
Success: Added move blizzard to slowbro
Success: Added move brickbreak to slowbro
Success: Added move confusion to slowbro
Success: Added move avalanche to slowbro
Success: Added move psychup to slowbrogalar
Success: Added move yawn to slowpokegalar
Success: Added move yawn to slowbrogalar
Success: Added move rest to slowbrogalar
Success: Added move muddywater to slowbrogalar
Success: Added move drainpunch to slowbro
Success: Added move trickroom to slowpokegalar
Success: Added move chillingwater to slowking
Success: Added move calmmind to slowbro
Success: Added move growl to slowking
Success: Added move curse to slowbro
Success: Added move fireblast to slowbro
Success: Added move irondefense to slowking
Success: Added move psybeam to slowbro
Success: Added move waterpulse to slowbro
Success: Added move muddywater to slowking
Success: Added move chillingwater to slowbro
Success: Added move endure to slowbro
Success: Added move mudshot to slowking
Success: Added move powergem to slowking
Success: Added move healpulse to slowbro
Success: Added move sleeptalk to slowbro
Success: Added move helpinghand to slowbro
Success: Added move watergun to slowbro
Success: Added move psyshock to slowking
Success: Added move storedpower to slowbro
Success: Added move trickroom to slowbro
Success: Added move liquidation to slowbro
Success: Added move rest to slowking
Success: Added move imprison to slowbro
Success: Added move surf to slowbro
Success: Added move rocktomb to slowking
Success: Added move nastyplot to slowbro
Success: Added move sleeptalk to slowking
Success: Added move waterfall to slowbro
Success: Added move trick to slowbro
Success: Added move shadowball to slowbro
Success: Added move skillswap to slowking
Success: Added move surf to slowking
Success: Added move terablast to slowbro
Success: Added move sunnyday to slowbro
Success: Added move substitute to slowking
Success: Added move psychic to slowbro
Success: Added move terablast to slowking
Success: Added move trumpcard to slowking
Success: Added move expandingforce to slowbro
Success: Added move swift to slowking
Success: Added move snowscape to slowbro
Success: Added move hydropump to slowbro
Success: Added move protect to slowbro
Success: Added move tackle to slowbro
Success: Added move thunderwave to slowking
Success: Added move icywind to slowbro
Success: Added move mudshot to slowbro
Success: Added move zenheadbutt to slowking
Success: Added move whirlpool to slowking
Success: Added move icebeam to slowbro
Success: Added move psychup to slowbro
Success: Added move weatherball to slowking
Success: Added move psychicnoise to slowbro
Success: Added move waterpulse to slowking
Success: Added move gigaimpact to slowbro
Success: Added move waterfall to slowpokegalar
Success: Added move psyshock to slowbro
Success: Added move raindance to slowbro
Success: Added move focuspunch to slowbro
Success: Added move disable to slowkinggalar
Success: Added move foulplay to slowkinggalar
Success: Added move weatherball to slowbro
Success: Added move facade to slowkinggalar
Success: Added move endure to slowkinggalar
Success: Added move brickbreak to slowkinggalar
Success: Added move acidspray to slowbrogalar
Success: Added move zenheadbutt to slowbro
Success: Added move acid to slowbrogalar
Success: Added move yawn to slowbro
Success: Added move weatherball to slowpokegalar
Success: Added move avalanche to slowbrogalar
Success: Added move bodypress to slowbrogalar
Success: Added move blizzard to slowbrogalar
Success: Added move chillingwater to slowbrogalar
Success: Added move dig to slowkinggalar
Success: Added move zenheadbutt to slowpokegalar
Success: Added move confusion to slowbrogalar
Success: Added move brickbreak to slowbrogalar
Success: Added move dig to slowbrogalar
Success: Added move doubleedge to slowbrogalar
Success: Added move disable to slowbrogalar
Success: Added move bulldoze to slowbrogalar
Success: Added move curse to slowbrogalar
Success: Added move earthquake to slowbrogalar
Success: Added move facade to slowbrogalar
Success: Added move drainpunch to slowbrogalar
Success: Added move flamethrower to slowbrogalar
Success: Added move expandingforce to slowbrogalar
Success: Added move endure to slowbrogalar
Success: Added move fireblast to slowbrogalar
Success: Added move psychic to slowbrogalar
Success: Added move foulplay to slowbrogalar
Success: Added move fling to slowbrogalar
Success: Added move gigaimpact to slowbrogalar
Success: Added move focusblast to slowbrogalar
Success: Added move tackle to slowbrogalar
Success: Added move hydropump to slowbrogalar
Success: Added move hyperbeam to slowbrogalar
Success: Added move haze to slowbrogalar
